Kirsty_MacColl;DEATH;6387;9.96%;Dec-15;24-12-15;Not in the Top 1000;5604;8.74%;Dec-16;18-12-16;Not in the Top 1000;7632;11.90%;Dec-17;24-12-17;836;;;;;
Auld_Lang_Syne;HIST;33793;7.43%;Dec-15;31-12-15;414;30847;6.78%;Dec-16;31-12-16;608;33745;7.42%;Dec-17;31-12-17;407;;;;;
Chinesisches_Neujahrsfest;HIST;111889;15.05%;Feb-16;08-02-16;Not in the Top 1000;121132;16.30%;Jan-17;27-01-17;Not in the Top 1000;100990;13.59%;Feb-18;16-02-18;Not in the Top 1000;;;;;
Kolumbus-Tag;HIST;15923;13.50%;Oct-15;12-10-15;Not in the Top 1000;16533;14.02%;Oct-16;12-10-16;Not in the Top 1000;15014;12.73%;Oct-17;09-10-17;Not in the Top 1000;;;;;
Vatertag;HIST;244846;25.74%;May-16;05-05-16;Not in the Top 1000;167626;17.62%;May-17;25-05-17;Not in the Top 1000;158491;16.66%;May-18;10-05-18;Not in the Top 1000;;;;;
Iden_des_März;HIST;20245;10.06%;Mar-16;15-03-16;Not in the Top 1000;16504;8.20%;Mar-17;15-03-17;Not in the Top 1000;16257;8.08%;Mar-18;15-03-18;Not in the Top 1000;;;;;
Internationaler_Frauentag;HIST;284278;26.22%;Mar-16;08-03-16;Not in the Top 1000;317298;29.26%;Mar-17;08-03-17;Not in the Top 1000;244740;22.57%;Mar-18;08-03-18;Not in the Top 1000;;;;;
Kwanzaa;HIST;10716;12.44%;Dec-15;24-12-15;169;9485;11.01%;Dec-16;24-12-16;225;12214;14.18%;Dec-17;24-12-17;101;;;;;
Labor_Day;HIST;37249;12.96%;Sep-15;07-09-15;89;26439;9.20%;Sep-16;05-09-16;228;26588;9.25%;Sep-17;04-09-17;182;25052;8.72%;Sep-18;03-09-18;154
Muttertag;HIST;295971;23.82%;May-16;08-05-16;Not in the Top 1000;251624;20.25%;May-17;14-05-17;Not in the Top 1000;228186;18.37%;May-18;13-05-18;Not in the Top 1000;;;;;
Silvester;HIST;106211;15.34%;Dec-15;31-12-15;Not in the Top 1000;163332;23.59%;Dec-16;31-12-16;Not in the Top 1000;119866;17.31%;Dec-17;31-12-17;Not in the Top 1000;;;;;
Nobelpreis;HIST;66415;7.30%;Oct-15;09-10-15;Not in the Top 1000;68863;7.57%;Oct-16;13-10-16;Not in the Top 1000;60565;6.66%;Oct-17;06-10-17;Not in the Top 1000;;;;;
Nouruz;HIST;87951;21.76%;Mar-16;20-03-16;Not in the Top 1000;96243;23.81%;Mar-17;20-03-17;Not in the Top 1000;83699;20.71%;Mar-18;20-03-18;Not in the Top 1000;;;;;
