Australia_Day;NAT;291340;18.35%;Jan-16;26/01/2016;Not in the Top 1000;284849;17.94%;Jan-17;26/01/2017;Not in the Top 1000;329710;20.77%;Jan-18;26/01/2018;883;;;;;
Eid_al-Fitr;REL;567578;11.68%;Jul-16;06/07/2016;248;548885;11.30%;Jun-17;25/06/2017;222;709677;14.60%;Jun-18;15/06/2018;163;;;;;
Ramadan;REL;1156870;14.50%;Jun-16;06/06/2016;60;920050;11.53%;May-17;27/05/2017;126;1098888;13.77%;May-18;16/05/2018;88;;;;;
Jesus;REL;539871;4.01%;Dec-15;25/12/2015;304;537120;3.99%;Dec-16;25/12/2016;336;506197;3.76%;Dec-17;25/12/2017;312;;;;;
Eid_Mubarak;REL;377097;14.29%;Jul-16;06/07/2016;530;348065;13.19%;Jun-17;25/06/2017;543;378556;14.35%;Jun-18;15/06/2018;545;;;;;
Raksha_Bandhan;REL;526689;18.55%;Aug-15;29/08/2015;246;492694;17.35%;Aug-16;18/08/2016;330;435810;15.35%;Aug-17;07/08/2017;320;422164;14.87%;Aug-18;26/08/2018;368
Ganesh_Chaturthi;REL;439783;15.44%;Sep-15;17/09/2015;327;372645;13.09%;Sep-16;05/09/2016;485;351820;12.36%;Aug-17;25/08/2017;514;424443;14.91%;Sep-18;13/09/2018;368
Halloween;REL;2758588;17.53%;Oct-15;31/10/2015;11;2478344;15.75%;Oct-16;31/10/2016;20;2539109;16.14%;Oct-17;31/10/2017;14;;;;;
Diwali;REL;1481778;17.31%;Nov-15;11/11/2015;41;1346381;15.73%;Oct-16;30/10/2016;48;1579127;18.45%;Oct-17;19/10/2017;25;;;;;
Thanksgiving;REL;1998489;21.63%;Nov-15;26/11/2015;26;1981063;21.44%;Nov-16;24/11/2016;48;1582239;17.13%;Nov-17;23/11/2017;31;;;;;
Christmas;REL;1496106;17.51%;Dec-15;25/12/2015;45;1358855;15.90%;Dec-16;25/12/2016;55;1264263;14.79%;Dec-17;25/12/2017;63;;;;;
Santa_Claus;REL;1089350;18.67%;Dec-15;25/12/2015;84;1119099;19.18%;Dec-16;25/12/2016;78;899250;15.41%;Dec-17;25/12/2017;109;;;;;
Boxing_Day;REL;1370140;22.61%;Dec-15;26/12/2015;58;1559247;25.74%;Dec-16;26/12/2016;44;1422028;23.47%;Dec-17;26/12/2017;46;;;;;
Hanukkah;REL;1045792;19.34%;Dec-15;07/12/2015;90;1270951;23.50%;Dec-16;25/12/2016;59;1009699;18.67%;Dec-17;13/12/2017;95;;;;;
Rudolph_the_Red-Nosed_Reindeer;REL;330553;22.12%;Dec-15;02/12/2015;749;306285;20.50%;Dec-16;11/12/2016;930;255318;17.09%;Dec-17;25/12/2017;Not in the Top 1000;;;;;
Yule;REL;314383;19.14%;Dec-15;26/12/2015;824;350309;21.33%;Dec-16;21/12/2016;729;303943;18.51%;Dec-17;21/12/2017;821;;;;;
Makar_Sankranti;REL;486231;25.03%;Jan-16;14/01/2016;447;393952;20.28%;Jan-17;14/01/2017;753;437386;22.51%;Jan-18;14/01/2018;539;;;;;
Epiphany_(holiday);REL;471043;18.41%;Jan-16;06/01/2016;481;513828;20.09%;Jan-17;06/01/2017;469;397298;15.53%;Jan-18;06/01/2018;648;;;;;
Ash_Wednesday;REL;736546;21.56%;Feb-16;10/02/2016;201;679288;19.88%;Mar-17;01/03/2017;162;845087;24.73%;Feb-18;14/02/2018;116;;;;;
Mardi_Gras;REL;598756;13.86%;Feb-16;09/02/2016;273;627393;14.52%;Feb-17;28/02/2017;224;495193;11.46%;Feb-18;13/02/2018;332;;;;;
Lent;REL;578694;15.42%;Feb-16;10/02/2016;291;557369;14.85%;Mar-17;01/03/2017;251;555312;14.80%;Feb-18;14/02/2018;266;;;;;
Maundy_Thursday;REL;429059;25.06%;Mar-16;24/03/2016;470;440232;25.71%;Apr-17;13/04/2017;361;346566;20.24%;Mar-18;29/03/2018;661;;;;;
Maha_Shivaratri;REL;409399;22.73%;Mar-16;07/03/2016;512;445102;24.72%;Feb-17;24/02/2017;445;420184;23.33%;Feb-18;13/02/2018;442;;;;;
Standard_deviation;SCI;387225;3.13%;Oct-15;06/10/2015;428;370756;2.99%;Oct-16;04/10/2016;555;390866;3.16%;Oct-17;11/10/2017;451;;;;;
Daylight_saving_time;SCI;823722;8.77%;Mar-16;13/03/2016;127;748528;7.97%;Mar-17;12/03/2017;138;674222;7.18%;Mar-18;11/03/2018;185;;;;;
Normal_distribution;SCI;276199;3.08%;Oct-15;20/10/2015;927;293353;3.28%;Oct-16;19/10/2016;896;275083;3.07%;Oct-17;24/10/2017;932;;;;;
Persimmon;SCI;283766;7.58%;Nov-15;09/11/2015;892;264839;7.07%;Nov-16;07/11/2016;Not in the Top 1000;295546;7.89%;Nov-17;19/11/2017;823;;;;;
Winter_solstice;SCI;437950;18.92%;Dec-15;22/12/2015;452;357337;15.44%;Dec-16;21/12/2016;700;357372;15.44%;Dec-17;21/12/2017;590;;;;;
Pi;SCI;473709;6.35%;Mar-16;14/03/2016;393;451860;6.05%;Mar-17;14/03/2017;399;492347;6.60%;Mar-18;14/03/2018;335;;;;;
Tour_de_France;SPORT;499044;13.48%;Jul-16;24/07/2016;309;487581;13.17%;Jul-17;23/07/2017;309;425153;11.48%;Jul-18;29/07/2018;484;;;;;
List_of_Super_Bowl_champions;SPORT;1680017;9.07%;Jan-16;25/01/2016;43;1750506;9.45%;Jan-17;23/01/2017;45;1633853;8.82%;Jan-18;22/01/2018;52;;;;;
Australian_Open;SPORT;371815;13.35%;Jan-16;31/01/2016;724;450308;16.16%;Jan-17;29/01/2017;587;399399;14.34%;Jan-18;28/01/2018;639;;;;;
National_Football_League;SPORT;329519;4.70%;Jan-16;17/01/2016;924;314251;4.49%;Jan-17;23/01/2017;Not in the Top 1000;386298;5.51%;Jan-18;10/01/2018;668;;;;;
Masters_Tournament;SPORT;480286;18.43%;Apr-16;10/04/2016;330;464594;17.82%;Apr-17;09/04/2017;324;556688;21.36%;Apr-18;08/04/2018;244;;;;;
Steve_Kerr;SPORT;452273;8.02%;Jun-16;20/06/2016;360;577031;10.23%;Jun-17;13/06/2017;206;543463;9.64%;Jun-18;09/06/2018;267;;;;;
Royal_Challengers_Bangalore;SPORT;297624;11.86%;Apr-16;12/04/2016;829;290951;11.59%;Apr-17;05/04/2017;864;356975;14.23%;Apr-18;08/04/2018;593;;;;;
Kentucky_Derby;SPORT;349105;15.65%;May-16;07/05/2016;621;397381;17.81%;May-17;06/05/2017;546;308018;13.81%;May-18;05/05/2018;873;;;;;
Secretariat_(horse);SPORT;303165;7.91%;May-16;08/05/2016;826;293632;7.67%;May-17;06/05/2017;960;272539;7.12%;Jun-18;09/06/2018;999;;;;;
Triple_Crown_of_Thoroughbred_Racing;SPORT;286159;16.15%;May-16;07/05/2016;921;294518;16.63%;May-17;06/05/2017;957;261716;14.77%;May-18;19/05/2018;Not in the Top 1000;;;;;
Lance_Armstrong;SPORT;277804;5.55%;Jul-16;24/07/2016;942;267048;5.34%;Jul-17;23/07/2017;956;231577;4.63%;Jul-18;29/07/2018;Not in the Top 1000;;;;;
Juan_Martín_del_Potro;SPORT;382258;13.70%;Aug-16;14/08/2016;535;327023;11.72%;Sep-17;07/09/2017;614;431231;15.46%;Sep-18;09/09/2018;358;;;;;
List_of_NBA_players_with_most_championships;SPORT;244289;7.06%;Jun-16;20/06/2016;Not in the Top 1000;282585;8.16%;Jun-17;13/06/2017;830;285439;8.25%;Jun-18;09/06/2018;926;;;;;
Bill_Gates;TECH;580576;2.98%;Feb-16;03/02/2016;288;595572;3.06%;Jan-17;16/01/2017;348;579604;2.98%;Feb-18;22/02/2018;248;;;;;
BoJack_Horseman;TVMOV;370713;6.06%;Aug-16;10/08/2016;561;410735;6.72%;Sep-17;09/09/2017;377;403376;6.60%;Sep-18;15/09/2018;410;;;;;
Daniel_Radcliffe;TVMOV;364037;3.18%;Jan-16;15/01/2016;752;366658;3.20%;Jan-17;01/01/2017;862;347825;3.04%;Jan-18;01/01/2018;802;;;;;
Natalie_Portman;TVMOV;754149;4.82%;Dec-15;20/12/2015;165;702122;4.49%;Jan-17;24/01/2017;260;629973;4.03%;Feb-18;04/02/2018;220;;;;;
Zooey_Deschanel;TVMOV;427395;4.36%;Dec-15;25/12/2015;473;458930;4.68%;Dec-16;25/12/2016;463;415045;4.23%;Dec-17;25/12/2017;440;;;;;
Judy_Garland;TVMOV;525233;4.37%;Dec-15;20/12/2015;322;553955;4.61%;Dec-16;13/12/2016;315;477664;3.97%;Dec-17;24/12/2017;343;;;;;
I'm_a_Celebrity...Get_Me_Out_of_Here!_(UK_TV_series);TVMOV;352556;13.77%;Nov-15;15/11/2015;568;347650;13.58%;Nov-16;13/11/2016;740;280421;10.95%;Nov-17;20/11/2017;909;;;;;
The_Twelve_Days_of_Christmas_(song);TVMOV;1214912;24.37%;Dec-15;17/12/2015;76;966088;19.38%;Dec-16;25/12/2016;105;926200;18.58%;Dec-17;25/12/2017;107;;;;;
Bing_Crosby;TVMOV;647972;11.68%;Dec-15;25/12/2015;204;645371;11.63%;Dec-16;25/12/2016;240;744287;13.41%;Dec-17;25/12/2017;145;;;;;
It's_a_Wonderful_Life;TVMOV;553151;16.44%;Dec-15;25/12/2015;288;657635;19.55%;Dec-16;25/12/2016;231;509527;15.14%;Dec-17;25/12/2017;308;;;;;
Home_Alone;TVMOV;552521;12.21%;Dec-15;25/12/2015;289;595230;13.16%;Dec-16;25/12/2016;279;481833;10.65%;Dec-17;25/12/2017;338;;;;;
A_Christmas_Story;TVMOV;501552;21.04%;Dec-15;25/12/2015;353;496872;20.85%;Dec-16;25/12/2016;391;555169;23.29%;Dec-17;25/12/2017;263;;;;;
The_Elf_on_the_Shelf;TVMOV;490136;23.19%;Dec-15;01/12/2015;369;395070;18.69%;Dec-16;01/12/2016;594;376437;17.81%;Dec-17;01/12/2017;544;;;;;
James_Stewart;TVMOV;417929;6.92%;Dec-15;25/12/2015;496;496309;8.22%;Dec-16;25/12/2016;393;452963;7.50%;Dec-17;25/12/2017;390;;;;;
A_Christmas_Carol;TVMOV;404072;13.71%;Dec-15;25/12/2015;531;425488;14.44%;Dec-16;24/12/2016;519;407727;13.83%;Dec-17;25/12/2017;450;;;;;
The_Nutcracker;TVMOV;377424;11.27%;Dec-15;18/12/2015;601;426435;12.73%;Dec-16;18/12/2016;516;430436;12.85%;Dec-17;20/12/2017;419;;;;;
White_Christmas_(film);TVMOV;363401;21.46%;Dec-15;25/12/2015;637;388667;22.95%;Dec-16;25/12/2016;610;404731;23.90%;Dec-17;25/12/2017;462;;;;;
Elf_(film);TVMOV;358797;17.69%;Dec-15;25/12/2015;647;308470;15.21%;Dec-16;25/12/2016;917;338628;16.70%;Dec-17;25/12/2017;651;;;;;
National_Lampoon's_Christmas_Vacation;TVMOV;350807;17.88%;Dec-15;25/12/2015;685;370349;18.87%;Dec-16;25/12/2016;662;356155;18.15%;Dec-17;25/12/2017;594;;;;;
The_Polar_Express_(film);TVMOV;327815;15.25%;Dec-15;06/12/2015;763;357297;16.63%;Dec-16;24/12/2016;701;327824;15.25%;Dec-17;25/12/2017;690;;;;;
Tim_Allen;TVMOV;317432;4.74%;Dec-15;10/12/2015;814;385489;5.76%;Dec-16;25/12/2016;616;376343;5.62%;Dec-17;25/12/2017;545;;;;;
John_Candy;TVMOV;309885;4.82%;Dec-15;27/12/2015;843;275415;4.28%;Dec-16;23/12/2016;Not in the Top 1000;326001;5.07%;Dec-17;25/12/2017;697;;;;;
Golden_Globe_Award;TVMOV;537550;14.85%;Jan-16;11/01/2016;367;472098;13.04%;Jan-17;09/01/2017;543;426014;11.77%;Jan-18;08/01/2018;567;;;;;
Academy_Award_for_Best_Picture;TVMOV;496218;5.52%;Feb-16;28/02/2016;379;607287;6.75%;Feb-17;27/02/2017;239;553925;6.16%;Mar-18;05/03/2018;270;;;;;
Coachella_Valley_Music_and_Arts_Festival;TVMOV;724347;20.16%;Apr-16;18/04/2016;141;550834;15.33%;Apr-17;17/04/2017;234;639530;17.80%;Apr-18;15/04/2018;185;;;;;
Silicon_Valley_(TV_series);TVMOV;477843;5.56%;May-16;16/05/2016;329;472701;5.50%;May-17;08/05/2017;388;446329;5.19%;May-18;14/05/2018;434;;;;;
Eurovision_Song_Contest;TVMOV;550794;17.20%;May-16;14/05/2016;258;451646;14.11%;May-17;13/05/2017;427;494335;15.44%;May-18;12/05/2018;359;;;;;
List_of_Eurovision_Song_Contest_winners;TVMOV;361922;17.50%;May-16;14/05/2016;580;334600;16.17%;May-17;13/05/2017;758;401454;19.41%;May-18;12/05/2018;546;;;;;
Simon_Cowell;TVMOV;410687;4.51%;Jun-16;01/06/2016;437;436833;4.80%;Jun-17;28/06/2017;348;375355;4.12%;Jun-18;13/06/2018;554;;;;;
Mel_B;TVMOV;355384;4.53%;Sep-16;08/09/2016;535;437398;5.58%;Aug-17;23/08/2017;316;364846;4.65%;Aug-18;28/08/2018;478;;;;;
List_of_Silicon_Valley_episodes;TVMOV;310502;8.86%;Jun-16;27/06/2016;734;340128;9.71%;Jun-17;26/06/2017;571;339849;9.70%;May-18;21/05/2018;715;;;;;
America's_Got_Talent;TVMOV;321773;5.07%;Jul-16;28/07/2016;713;382887;6.03%;Aug-17;02/08/2017;426;309847;4.88%;Aug-18;16/08/2018;703;;;;;
Die_Hard;TVMOV;236606;7.03%;Jan-16;14/01/2016;Not in the Top 1000;247045;7.34%;Dec-16;25/12/2016;Not in the Top 1000;299448;8.90%;Dec-17;25/12/2017;842;;;;;
Peter_Billingsley;TVMOV;270312;20.81%;Dec-15;25/12/2015;Not in the Top 1000;283129;21.80%;Dec-16;25/12/2016;Not in the Top 1000;275965;21.25%;Dec-17;25/12/2017;1000;;;;;
