Subhas_Chandra_Bose;BIRTH;350345;5.48%;Jan-16;23/01/2016;828;309474;4.84%;Jan-17;23/01/2017;Not in the Top 1000;361776;5.66%;Jan-18;23/01/2018;749;;;;;
Swami_Vivekananda;BIRTH;441650;6.50%;Jan-16;12/01/2016;533;408883;6.02%;Jan-17;12/01/2017;693;414305;6.10%;Jan-18;12/01/2018;603;;;;;
Kirsty_MacColl;DEATH;243339;14.20%;Dec-15;25/12/2015;Not in the Top 1000;236863;13.82%;Dec-16;25/12/2016;Not in the Top 1000;300509;17.53%;Dec-17;20/12/2017;836;;;;;
United_States_Declaration_of_Independence;HIST;435534;4.79%;Jul-16;04/07/2016;405;422710;4.65%;Jul-17;04/07/2017;416;378527;4.16%;Jul-18;04/07/2018;599;;;;;
Cold_War;HIST;408330;3.64%;May-16;09/05/2016;460;394430;3.52%;Apr-17;25/04/2017;464;362189;3.23%;Apr-18;14/04/2018;578;;;;;
Columbus_Day;HIST;414314;19.07%;Oct-15;12/10/2015;369;329669;15.18%;Oct-16;10/10/2016;697;358863;16.52%;Oct-17;09/10/2017;545;;;;;
Samhain;HIST;316992;12.43%;Oct-15;31/10/2015;686;303593;11.90%;Oct-16;31/10/2016;835;320775;12.58%;Oct-17;31/10/2017;685;;;;;
Veterans_Day;HIST;694047;25.10%;Nov-15;11/11/2015;157;633481;22.91%;Nov-16;11/11/2016;248;540793;19.56%;Nov-17;11/11/2017;262;;;;;
Guy_Fawkes_Night;HIST;651346;17.05%;Nov-15;05/11/2015;174;621892;16.28%;Nov-16;05/11/2016;255;565119;14.79%;Nov-17;05/11/2017;237;;;;;
Auld_Lang_Syne;HIST;462326;10.63%;Dec-15;31/12/2015;414;451848;10.39%;Jan-17;01/01/2017;583;437932;10.07%;Dec-17;31/12/2017;407;;;;;
Saint_Valentine;HIST;512255;22.68%;Feb-16;14/02/2016;353;582941;25.81%;Feb-17;14/02/2017;256;542146;24.00%;Feb-18;14/02/2018;280;;;;;
Berlin_Wall;HIST;320546;3.65%;Feb-16;07/02/2016;808;318575;3.62%;Jan-17;26/01/2017;Not in the Top 1000;308557;3.51%;Feb-18;06/02/2018;757;;;;;
International_Women's_Day;HIST;1009454;23.16%;Mar-16;08/03/2016;84;1188165;27.26%;Mar-17;08/03/2017;48;1205447;27.65%;Mar-18;08/03/2018;60;;;;;
Mother's_Day;HIST;1043934;15.43%;May-16;08/05/2016;61;1127090;16.66%;May-17;14/05/2017;100;1244114;18.39%;May-18;13/05/2018;72;;;;;
World_Environment_Day;HIST;244284;15.23%;Jun-16;05/06/2016;Not in the Top 1000;265847;16.57%;Jun-17;05/06/2017;938;222054;13.84%;Jun-18;05/06/2018;Not in the Top 1000;;;;;
Chinese_zodiac;HIST;280652;7.56%;Feb-16;08/02/2016;Not in the Top 1000;327671;8.82%;Jan-17;28/01/2017;Not in the Top 1000;302398;8.14%;Feb-18;16/02/2018;792;;;;;
Independence_Day_(India);NAT;763791;14.70%;Aug-15;14/08/2015;119;771316;14.84%;Aug-16;15/08/2016;145;925422;17.81%;Aug-17;15/08/2017;85;905103;17.42%;Aug-18;15/08/2018;86
Sweetest_Day;NAT;277218;23.98%;Oct-15;17/10/2015;914;212535;18.38%;Oct-16;15/10/2016;Not in the Top 1000;229928;19.89%;Oct-17;21/10/2017;Not in the Top 1000;;;;;
Republic_Day_(India);NAT;1116314;24.37%;Jan-16;26/01/2016;96;1022429;22.32%;Jan-17;26/01/2017;143;1057481;23.09%;Jan-18;26/01/2018;99;;;;;
