Kolumbus-Tag;HIST;15923;13.50%;Oct-15;12/10/2015;Not in the Top 1000;16533;14.02%;Oct-16;12/10/2016;Not in the Top 1000;15014;12.73%;Oct-17;09/10/2017;Not in the Top 1000;;;;;
Auld_Lang_Syne;HIST;33793;7.43%;Dec-15;31/12/2015;414;30847;6.78%;Dec-16;31/12/2016;608;33745;7.42%;Dec-17;31/12/2017;407;;;;;
Internationaler_Frauentag;HIST;284278;26.22%;Mar-16;08/03/2016;Not in the Top 1000;317298;29.26%;Mar-17;08/03/2017;Not in the Top 1000;244740;22.57%;Mar-18;08/03/2018;Not in the Top 1000;;;;;
Muttertag;HIST;295971;23.82%;May-16;08/05/2016;Not in the Top 1000;251624;20.25%;May-17;14/05/2017;Not in the Top 1000;228186;18.37%;May-18;13/05/2018;Not in the Top 1000;;;;;
Tag_der_Republik_(Indien);NAT;2198;13.53%;Jan-16;26/01/2016;Not in the Top 1000;2249;13.84%;Jan-17;26/01/2017;Not in the Top 1000;2072;12.75%;Jan-18;26/01/2018;Not in the Top 1000;;;;;
Fest_des_Fastenbrechens;REL;89187;13.73%;Jul-16;05/07/2016;Not in the Top 1000;85805;13.21%;Jun-17;25/06/2017;Not in the Top 1000;71614;11.03%;Jun-18;15/06/2018;Not in the Top 1000;;;;;
Jesus_Christus;REL;51066;4.85%;Dec-15;24/12/2015;Not in the Top 1000;50659;4.81%;Dec-16;24/12/2016;Not in the Top 1000;49214;4.67%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
Ganesh_Chaturthi;REL;3912;11.99%;Sep-15;17/09/2015;327;3894;11.94%;Sep-16;05/09/2016;485;3671;11.26%;Aug-17;25/08/2017;514;4336;13.29%;Sep-18;13/09/2018;368
Halloween;REL;636606;20.25%;Oct-15;31/10/2015;11;560836;17.84%;Oct-16;31/10/2016;20;573439;18.24%;Oct-17;31/10/2017;14;;;;;
Diwali;REL;55845;17.20%;Nov-15;11/11/2015;41;50518;15.56%;Oct-16;30/10/2016;48;64195;19.77%;Oct-17;19/10/2017;25;;;;;
Thanksgiving;REL;226576;17.03%;Nov-15;26/11/2015;26;241057;18.12%;Nov-16;24/11/2016;48;198316;14.91%;Nov-17;23/11/2017;31;;;;;
Weihnachtsmann;REL;229339;22.30%;Dec-15;24/12/2015;Not in the Top 1000;214612;20.86%;Dec-16;24/12/2016;Not in the Top 1000;194271;18.89%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
Chanukka;REL;132883;15.61%;Dec-15;07/12/2015;Not in the Top 1000;165413;19.43%;Dec-16;24/12/2016;Not in the Top 1000;157729;18.52%;Dec-17;12/12/2017;Not in the Top 1000;;;;;
Julfest;REL;46471;17.14%;Dec-15;24/12/2015;Not in the Top 1000;56482;20.84%;Dec-16;24/12/2016;Not in the Top 1000;56529;20.85%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
