Rudolph,_the_Red-Nosed_Reindeer;REL;12362;21.00%;Dec-15;24-12-15;Not in the Top 1000;8940;15.18%;Dec-16;24-12-16;Not in the Top 1000;13734;23.33%;Dec-17;19-12-17;Not in the Top 1000;;;;;
Weihnachtsmann;REL;229339;22.30%;Dec-15;24-12-15;Not in the Top 1000;214612;20.86%;Dec-16;24-12-16;Not in the Top 1000;194271;18.89%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Thanksgiving;REL;226576;17.03%;Nov-15;26-11-15;26;241057;18.12%;Nov-16;24-11-16;48;198316;14.91%;Nov-17;23-11-17;31;;;;;
Julfest;REL;46471;17.14%;Dec-15;24-12-15;Not in the Top 1000;56482;20.84%;Dec-16;24-12-16;Not in the Top 1000;56529;20.85%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Australian_Open;SPORT;62152;16.93%;Jan-16;30-01-16;724;57866;15.76%;Jan-17;29-01-17;587;45552;12.41%;Jan-18;28-01-18;639;;;;;
The_Masters_Tournament;SPORT;13303;14.73%;Apr-16;10-04-16;Not in the Top 1000;16088;17.81%;Apr-17;10-04-17;Not in the Top 1000;10660;11.80%;Apr-18;08-04-18;Not in the Top 1000;;;;;
National_Football_League;SPORT;123994;9.36%;Jan-16;17-01-16;924;94760;7.15%;Jan-17;15-01-17;Not in the Top 1000;83063;6.27%;Jan-18;21-01-18;668;;;;;
Royal_Challengers_Bangalore;SPORT;182;6.10%;May-16;29-05-16;881;191;6.40%;Apr-17;18-04-17;864;230;7.71%;Apr-18;08-04-18;593;;;;;
A_Christmas_Carol;TVMOV;61046;21.30%;Dec-15;23-12-15;531;47846;16.70%;Dec-16;23-12-16;519;44393;15.49%;Dec-17;18-12-17;450;;;;;
Fröhliche_Weihnachten;TVMOV;10417;21.26%;Dec-15;24-12-15;Not in the Top 1000;8613;17.58%;Dec-16;24-12-16;Not in the Top 1000;8742;17.85%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Bing_Crosby;TVMOV;32831;11.22%;Dec-15;24-12-15;204;26902;9.20%;Dec-16;25-12-16;240;27075;9.25%;Dec-17;23-12-17;145;;;;;
Coachella_Valley_Music_and_Arts_Festival;TVMOV;78253;24.50%;Apr-16;17-04-16;141;61921;19.39%;Apr-17;17-04-17;234;50478;15.80%;Apr-18;15-04-18;185;;;;;
Buddy_–_Der_Weihnachtself;TVMOV;6176;13.11%;Dec-15;24-12-15;Not in the Top 1000;7644;16.22%;Dec-16;06-12-16;Not in the Top 1000;9300;19.74%;Dec-17;12-12-17;Not in the Top 1000;;;;;
Eurovision_Song_Contest;TVMOV;274415;23.52%;May-16;14-05-16;258;187728;16.09%;May-17;13-05-17;427;194734;16.69%;May-18;12-05-18;359;;;;;
Golden_Globe_Award;TVMOV;30162;11.19%;Jan-16;11-01-16;367;23755;8.81%;Jan-17;09-01-17;543;22802;8.46%;Jan-18;08-01-18;567;;;;;
Kevin_–_Allein_zu_Haus;TVMOV;219397;17.58%;Dec-15;24-12-15;Not in the Top 1000;210856;16.89%;Dec-16;24-12-16;Not in the Top 1000;257683;20.64%;Dec-17;23-12-17;Not in the Top 1000;;;;;
Peter_Billingsley;TVMOV;1762;15.90%;Dec-15;06-12-15;Not in the Top 1000;1660;14.98%;Dec-16;25-12-16;Not in the Top 1000;1757;15.86%;Dec-17;17-12-17;1000;;;;;
Der_Nussknacker;TVMOV;96791;14.91%;Dec-15;21-12-15;Not in the Top 1000;73494;11.32%;Dec-16;06-12-16;Not in the Top 1000;88403;13.62%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Der_Polarexpress;TVMOV;31955;15.28%;Dec-15;25-12-15;Not in the Top 1000;32311;15.45%;Dec-16;24-12-16;Not in the Top 1000;40288;19.26%;Dec-17;24-12-17;Not in the Top 1000;;;;;
The_Twelve_Days_of_Christmas;TVMOV;14169;19.75%;Dec-15;24-12-15;Not in the Top 1000;14305;19.94%;Dec-16;24-12-16;Not in the Top 1000;12348;17.21%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Tim_Allen;TVMOV;39750;6.56%;Dec-15;07-12-15;814;32558;5.37%;Dec-16;03-12-16;616;45464;7.50%;Dec-17;02-12-17;545;;;;;
