Geopolitik_di_Indonesia;HIST;23728;7.83%;May-16;24-05-16;Not in the Top 1000;23010;7.59%;May-17;29-05-17;Not in the Top 1000;18274;6.03%;May-18;21-05-18;Not in the Top 1000;;;;;
Soepomo;HIST;14150;6.96%;Aug-16;08-08-16;Not in the Top 1000;14187;6.97%;Aug-17;08-08-17;Not in the Top 1000;12960;6.37%;Aug-18;07-08-18;Not in the Top 1000;;;;;
Fernando_de_Magelhaens;HIST;14082;5.97%;Aug-16;03-08-16;Not in the Top 1000;16008;6.79%;Aug-17;02-08-17;Not in the Top 1000;15506;6.58%;Aug-18;01-08-18;Not in the Top 1000;;;;;
Orang-orang_majus_dari_Timur;HIST;9033;7.88%;Dec-15;25-12-15;Not in the Top 1000;11178;9.75%;Dec-16;25-12-16;Not in the Top 1000;13061;11.40%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Proklamasi_Kemerdekaan_Indonesia;NAT;241744;6.97%;Aug-15;17-08-15;Not in the Top 1000;243335;7.01%;Aug-16;17-08-16;Not in the Top 1000;237393;6.84%;Aug-17;16-08-17;Not in the Top 1000;307087;8.85%;Aug-18;16-08-18;Not in the Top 1000
Sumpah_Pemuda;NAT;220267;9.82%;Oct-16;28-10-16;Not in the Top 1000;234367;10.45%;Oct-17;28-10-17;Not in the Top 1000;269727;12.02%;Oct-18;28-10-18;Not in the Top 1000;;;;;
Yusuf_Mansur;NAT;8644;4.60%;Jul-15;03-07-15;Not in the Top 1000;7901;4.20%;Jun-16;08-06-16;Not in the Top 1000;8558;4.55%;Jun-17;16-06-17;Not in the Top 1000;;;;;
Paskibraka;NAT;45909;7.48%;Aug-16;17-08-16;Not in the Top 1000;34177;5.57%;Aug-17;17-08-17;Not in the Top 1000;41294;6.73%;Aug-18;17-08-18;Not in the Top 1000;;;;;
Daftar_hari_kemerdekaan_nasional;NAT;14261;7.86%;Aug-15;17-08-15;Not in the Top 1000;17215;9.48%;Aug-16;17-08-16;Not in the Top 1000;16285;8.97%;Aug-17;17-08-17;Not in the Top 1000;;;;;
Lembaga_sosial;NAT;47546;6.61%;Nov-15;23-11-15;Not in the Top 1000;63276;8.80%;Nov-16;22-11-16;Not in the Top 1000;55099;7.66%;Nov-17;15-11-17;Not in the Top 1000;;;;;
Peraturan_perundang-undangan_Indonesia;NAT;45188;7.57%;Nov-15;30-11-15;Not in the Top 1000;47337;7.93%;Nov-16;28-11-16;Not in the Top 1000;39867;6.68%;Nov-17;27-11-17;Not in the Top 1000;;;;;
Hari_Batik_Nasional;NAT;26533;12.98%;Oct-15;02-10-15;Not in the Top 1000;24220;11.85%;Oct-16;02-10-16;Not in the Top 1000;37887;18.54%;Oct-17;01-10-17;Not in the Top 1000;32187;15.75%;Oct-18;02-10-18;Not in the Top 1000
